id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	2239.23534254061	-0.188857049282018	0.161429872108895	-1.16990149849479	0.242040610799889	0.643539321641314
Pbsn	0	NA	NA	NA	NA	NA
Cdc45	23.9135177580813	-0.254393923189976	0.413628592973957	-0.615029829927626	0.538535020809636	0.853754850750572
H19	3.64905157258551	0.530089843655331	1.00221464380024	0.52891847762802	0.596862003388925	0.878317694401297
Scml2	0	NA	NA	NA	NA	NA
Apoh	39603.1603672071	-0.087670164709197	0.16750918003852	-0.523375284202555	0.600713120313927	0.880627961278818
Narf	1092.26350226386	-0.202099779366856	0.244128198726813	-0.827842831843492	0.407759514281428	0.780202234357705
Cav2	85.807429920222	0.166920528923632	0.438770577811891	0.380427807525404	0.703627876127375	0.921411734774355
Klf6	277.31301790541	0.187809829509219	0.284986819952422	0.659012334467162	0.509887848102097	0.839943865557295
Scmh1	112.016105784932	0.121046574785078	0.285850546886257	0.42346105719799	0.671958905533797	0.910002224670443
Cox5a	2192.6767876427	-0.107320740156827	0.22847068536664	-0.469735274722896	0.638544162475865	0.894295345787918
Tbx2	42.3404378299542	-0.138809429978345	0.347069191174544	-0.399947426934062	0.689195239367224	0.91666361886281
Tbx4	0.941793014677144	2.48563188398026	2.22041615370209	1.11944415457255	0.262950702840907	NA
Zfy2	0	NA	NA	NA	NA	NA
Ngfr	131.934506164147	-0.681067304028755	0.294093276032275	-2.31582072605431	0.0205680591009442	0.222966378202673
Wnt3	0.158012622946021	-0.720191656827083	3.5338115409304	-0.203800244717484	0.838509601597997	NA
Wnt9a	9.84046580154453	-0.0395767087891286	0.736183635919383	-0.0537592889302724	0.957126945315013	0.990914930766642
Fer	244.115746480251	0.0387555794352292	0.221844683762833	0.174696904058614	0.861317800569982	0.966401628647268
Xpo6	696.621603520544	-0.00500528604466841	0.25457141019536	-0.0196616188786766	0.984313308554412	0.996213828466717
Tfe3	319.248872695975	-0.423881357536553	0.227447612842228	-1.86364390568734	0.0623717275997138	0.364446582808733
Axin2	131.50591983237	0.244556472082357	0.37749075155786	0.647847585862966	0.517083534127738	0.84326168337011
Brat1	248.562130083415	0.0926216302602817	0.227711426635276	0.406750032832709	0.684191589132048	0.914156437162186
Gna12	2264.23903805898	0.112784528615521	0.23456843658883	0.480817156202559	0.63064645581474	0.890520832746504
Slc22a18	1463.22321838244	-0.176141674779704	0.185173807922804	-0.95122348433389	0.341490939370355	0.72956439404098
Itgb2l	34.557343326576	2.05742178719245	0.579312820471769	3.5514867175164	0.000383061326364588	0.0249771619945889
Igsf5	495.437892686662	0.12509503129591	0.265736986099651	0.470747535493609	0.637821034206002	0.894295345787918
Pih1d2	11.4742297662171	0.279147827609628	0.565480725931942	0.493646935798878	0.621555546994257	0.887675151971804
Dlat	1193.62653784514	-0.367384096601225	0.215981058914437	-1.70100146025661	0.0889427129819607	0.426067417729132
Sdhd	3872.94372774408	0.115438319139072	0.319468460436791	0.361344963384617	0.717841585176803	0.925771227457009
Fgf23	0	NA	NA	NA	NA	NA
Fgf6	0	NA	NA	NA	NA	NA
Ccnd2	243.133858144348	-0.241727067545875	0.290253654256077	-0.832813175652943	0.404950102740291	0.778664237536837
Gpr107	469.281266778684	-0.0809242173688503	0.195142082221967	-0.41469382947755	0.678366050075654	0.912837089705903
Nalcn	3.25645699356562	0.753592011132813	1.02939375691841	0.732073617182956	0.4641236358667	0.815682855964983
Btbd17	0	NA	NA	NA	NA	NA
Slfn4	4.9718092293513	-0.227122103606281	1.18845476647394	-0.191107066094015	0.848441711726089	0.962176266788283
Th	0	NA	NA	NA	NA	NA
Ins2	0.254211290567126	1.50244421568268	3.52454576593767	0.426280240195142	0.669903654562658	NA
Scnn1g	0	NA	NA	NA	NA	NA
Drp2	4.04416662985471	2.05402211817204	1.23824338245846	1.65881937854083	0.0971521942191153	0.442716865183406
Tspan32	6.15015121333172	1.53925829038205	0.81783096637902	1.88212277800776	0.0598193473319819	0.357796221015318
Lhx2	38.4101625135194	0.182395434199932	0.345784602578475	0.527482811090577	0.597858349931579	0.878974198035767
Clec2g	2.62508040654392	3.15933850161304	1.53821964305642	2.05389296377433	0.0399860524940716	0.300480438753445
Gmpr	17.6985036400952	0.180985188665498	0.485616283520171	0.372691762626985	0.709377867954494	0.923390624613815
Glra1	0	NA	NA	NA	NA	NA
Mid2	192.489616670494	0.232835880993337	0.237490794510196	0.98039960442905	0.326888904947691	0.718423266291125
Trim25	1393.68591699312	0.0661251188413976	0.151404628224455	0.436744369157382	0.662296747801602	0.906096820964652
Dgke	63.3243813497819	0.043650131809708	0.337469535316908	0.12934539933721	0.897084349648045	0.976220877767542
Scpep1	688.286729243608	-0.63813824105461	0.181954654266447	-3.50712788099471	0.000452971405605715	0.0282848920047608
Mnt	68.1664920928507	-0.262024650272182	0.374810725978602	-0.699085250530266	0.484498755543984	0.828139925774699
Itgb2	234.849028909637	0.0918812167392866	0.329697100437075	0.278683727025445	0.78048755190546	0.942727146734175
Hddc2	10.7581107240524	-0.509399942442022	0.613087442301157	-0.830876490521556	0.406043405863875	0.77927556844624
Tpd52l1	122.973788590651	0.0866691471863437	0.358286863225086	0.24189875790086	0.808858612608791	0.949073473007829
Pemt	4326.3935436401	-0.218806060697235	0.275501578430568	-0.794209826105875	0.427073289085139	0.792587881372836
Cdh1	902.150525999833	-1.12200822967121	0.215744235763117	-5.20064059047746	1.98602823443762e-07	7.18342665173003e-05
Cdh4	22.6980575148125	0.643827998077527	0.471155494118514	1.36648729796108	0.171786065002416	0.561777356891216
Ckmt1	6.42630495630984	-4.59121711862206	1.66364634823067	-2.75973143180636	0.00578488966650005	0.122976371655365
Bcl6b	31.981879973829	-0.533329383339354	0.486612674400966	-1.09600388850516	0.273077072781694	0.67319462739838
Clec10a	8.44036357583662	0.263161515177461	0.780856591294305	0.337016448489292	0.736104500617181	0.932073686529623
Alox12	13.4113101949334	-0.688927585854828	0.557252565008998	-1.23629325213371	0.216349578457758	0.617286735916864
Comt	15842.8314973414	-0.472568494993944	0.222208336497261	-2.12669111538833	0.0334457562080381	0.278361906985285
Rtca	155.47799550856	-0.0600993468716943	0.219050645045301	-0.274362793404536	0.783805832869913	0.943254180654753
Dbt	2050.21615982233	-0.0578400565963308	0.200675214927213	-0.288227206420634	0.773172824329142	0.941405647859899
Dazap2	1277.76453018513	-0.126217704359761	0.1836321983461	-0.687339723079898	0.491868672299378	0.831942545564957
Mcts1	336.28773263157	-0.0161607145749232	0.210815528022307	-0.0766580845658256	0.938895550045577	0.987234408954654
Rem1	9.82046408794724	0.0561961612442206	0.729422568442676	0.0770419831733476	0.938590146454227	0.987164606777345
Rnf17	3.68838364164485	0.788630447966849	0.987333892969772	0.798747468898035	0.424436856040395	0.790466934326962
Trappc10	601.422047478938	0.0192177450128697	0.176147550133851	0.109100268486655	0.913122961940182	0.979169080545348
Ccm2	254.243363828842	-0.245885618496826	0.202456750926232	-1.21450935753887	0.224553278708997	0.62713962017067
Wap	0.102593219621927	0.722480863572189	3.5338115409304	0.204448045744389	0.838003387909601	NA
Tbrg4	419.875614631051	-0.0648181041635994	0.184226643137753	-0.351838925464936	0.724959064397727	0.927781306464482
Tmprss2	73.0962231585942	0.685013139391585	0.321124737336618	2.13316839142642	0.0329109150569147	0.276590198001339
Mx1	20.8540702923204	0.639087232671193	0.63556077672934	1.00554857390665	0.314632772401676	0.707709172942267
Fap	3.15094027156753	2.00536551037485	1.18500759563789	1.69228072272006	0.0905924615903675	0.429869803603009
